"Acronym, CommonName or Chemi-cal Name","ChemicalFormula","Lifetime(Years)","RadiativeEfficiency(W m–2ppb–1)","AGWP20-year(W m–2yr kg–1)","GWP20-year","AGWP100-year(W m–2yr kg–1)","GWP100-year","AGTP20-year(K kg–1)","GTP20-year","50-ye8arAGTP(K kg–1)","GTP50-year","AGTP100-year(K kg–1)","GTP100-year"
Carbon dioxide,CO2,see*,1.37e-5,2.49e-14,1,9.17e-14,1,6.84e-16,1,6.17e-16,1,5.47e-16,1
Methane,CH4,12.4†,3.63e-4,2.09e-12,84,2.61e-12,28,4.62e-14,67,8.69e-15,14,2.34e-15,4
Fossil methane‡,CH4,12.4†,3.63e-4,2.11e-12,85,2.73e-12,30,4.68e-14,68,9.55e-15,15,3.11e-15,6
Nitrous Oxide,N2O,121†,3.00e-3,6.58e-12,264,2.43e-11,265,1.89e-13,277,1.74e-13,282,1.28e-13,234
Chlorofluorocarbons,,,,,,,,,,,,,
CFC-11,CCl3F,45.0,0.26,1.72e-10,6900,4.28e-10,4660,4.71e-12,6890,3.01e-12,4890,1.28e-12,2340
CFC-12,CCl2F2,100.0,0.32,2.69e-10,"10,800",9.39e-10,"10,200",7.71e-12,"11,300",6.75e-12,"11,000",4.62e-12,8450
CFC-13,CClF3,640.0,0.25,2.71e-10,"10,900",1.27e-09,"13,900",7.99e-12,"11,700",8.77e-12,"14,200",8.71e-12,"15,900"
CFC-113,CCl2FCClF2,85.0,0.30,1.62e-10,6490,5.34e-10,5820,4.60e-12,6730,3.85e-12,6250,2.45e-12,4470
CFC-114,CClF2CClF2,190.0,0.31,1.92e-10,7710,7.88e-10,8590,5.60e-12,8190,5.56e-12,9020,4.68e-12,8550
CFC-115,CClF2CF3,"1,020.0",0.20,1.46e-10,5860,7.03e-10,7670,4.32e-12,6310,4.81e-12,7810,4.91e-12,8980
Hydrochlorofluorocarbons,,,,,,,,,,,,,
HCFC-21,CHCl2F,1.7,0.15,1.35e-11,543,1.35e-11,148,1.31e-13,192,1.59e-14,26,1.12e-14,20
HCFC-22,CHClF2,11.9,0.21,1.32e-10,5280,1.62e-10,1760,2.87e-12,4200,5.13e-13,832,1.43e-13,262
HCFC-122,CHCl2CF2Cl,1.0,0.17,5.43e-12,218,5.43e-12,59,4.81e-14,70,6.25e-15,10,4.47e-15,8
HCFC-122a,CHFClCFCl2,3.4,0.21,2.36e-11,945,2.37e-11,258,2.91e-13,426,2.99e-14,48,1.96e-14,36
HCFC-123,CHCl2CF3,1.3,0.15,7.28e-12,292,7.28e-12,79,6.71e-14,98,8.45e-15,14,6.00e-15,11
HCFC-123a,CHClFCF2Cl,4.0,0.23,3.37e-11,1350,3.39e-11,370,4.51e-13,659,4.44e-14,72,2.81e-14,51
HCFC-124,CHClFCF3,5.9,0.20,4.67e-11,1870,4.83e-11,527,7.63e-13,1120,7.46e-14,121,4.03e-14,74
HCFC-132c,CH2FCFCl2,4.3,0.17,3.07e-11,1230,3.10e-11,338,4.27e-13,624,4.14e-14,67,2.58e-14,47
HCFC-141b,CH3CCl2F,9.2,0.16,6.36e-11,2550,7.17e-11,782,1.27e-12,1850,1.67e-13,271,6.09e-14,111
HCFC-142b,CH3CClF2,17.2,0.19,1.25e-10,5020,1.82e-10,1980,3.01e-12,4390,8.46e-13,1370,1.95e-13,356
HCFC-225ca,CHCl2CF2CF3,1.9,0.22,1.17e-11,469,1.17e-11,127,1.17e-13,170,1.38e-14,22,9.65e-15,18
HCFC-225cb,CHClFCF2CClF2,5.9,0.29,4.65e-11,1860,4.81e-11,525,7.61e-13,1110,7.43e-14,120,4.01e-14,73
"(E)-1-Chloro-3,3,3-trifluoroprop-1-ene",trans-CF3CH=CHCl,26.0 days,0.04,1.37e-13,5,1.37e-13,1,1.09e-15,2,1.54e-16,<1,1.12e-16,<1
"Acronym, Common Nameor Chemical Name","ChemicalFormula","Lifetime(Years)","RadiativeEfficiency(W m–2ppb–1)","AGWP20-year(W m–2yr kg–1)","GWP20-year","AGWP100-year(W m–2yr kg–1)","GWP100-year","AGTP20-year(K kg–1)","GTP20-year","AGTP50-year(K kg–1)","GTP50-year","AGTP100-year(K kg–1)","GTP100-year"
Hydrofluorocarbons,,,,,,,,,,,,,
HFC-23,CHF3,222.0,0.18,2.70e-10,"10,800",1.14e-09,"12,400",7.88e-12,"11,500",7.99e-12,"13,000",6.95e-12,"12,700"
HFC-32,CH2F2,5.2,0.11,6.07e-11,2430,6.21e-11,677,9.32e-13,1360,8.93e-14,145,5.17e-14,94
HFC-41,CH3F,2.8,0.02,1.07e-11,427,1.07e-11,116,1.21e-13,177,1.31e-14,21,8.82e-15,16
HFC-125,CHF2CF3,28.2,0.23,1.52e-10,6090,2.91e-10,3170,3.97e-12,5800,1.84e-12,2980,5.29e-13,967
HFC-134,CHF2CHF2,9.7,0.19,8.93e-11,3580,1.02e-10,1120,1.82e-12,2660,2.54e-13,412,8.73e-14,160
HFC-134a,CH2FCF3,13.4,0.16,9.26e-11,3710,1.19e-10,1300,2.09e-12,3050,4.33e-13,703,1.10e-13,201
HFC-143,CH2FCHF2,3.5,0.13,3.00e-11,1200,3.01e-11,328,3.76e-13,549,3.82e-14,62,2.49e-14,46
HFC-143a,CH3CF3,47.1,0.16,1.73e-10,6940,4.41e-10,4800,4.76e-12,6960,3.12e-12,5060,1.37e-12,2500
HFC-152,CH2FCH2F,0.4,0.04,1.51e-12,60,1.51e-12,16,1.25e-14,18,1.71e-15,3,1.24e-15,2
HFC-152a,CH3CHF2,1.5,0.10,1.26e-11,506,1.26e-11,138,1.19e-13,174,1.47e-14,24,1.04e-14,19
HFC-161,CH3CH2F,66.0 days,0.02,3.33e-13,13,3.33e-13,4,2.70e-15,4,3.76e-16,<1,2.74e-16,<1
HFC-227ca,CF3CF2CHF2,28.2,0.27,1.27e-10,5080,2.42e-10,2640,3.31e-12,4830,1.53e-12,2480,4.41e-13,806
HFC-227ea,CF3CHFCF3,38.9,0.26,1.34e-10,5360,3.07e-10,3350,3.61e-12,5280,2.12e-12,3440,7.98e-13,1460
HFC-236cb,CH2FCF2CF3,13.1,0.23,8.67e-11,3480,1.11e-10,1210,1.94e-12,2840,3.92e-13,636,1.01e-13,185
HFC-236ea,CHF2CHFCF3,11.0,0.30a,1.03e-10,4110,1.22e-10,1330,2.18e-12,3190,3.53e-13,573,1.06e-13,195
HFC-236fa,CF3CH2CF3,242.0,0.24,1.73e-10,6940,7.39e-10,8060,5.06e-12,7400,5.18e-12,8400,4.58e-12,8380
HFC-245ca,CH2FCF2CHF2,6.5,0.24b,6.26e-11,2510,6.56e-11,716,1.07e-12,1570,1.09e-13,176,5.49e-14,100
HFC-245cb,CF3CF2CH3,47.1,0.24,1.67e-10,6680,4.24e-10,4620,4.58e-12,6690,3.00e-12,4870,1.32e-12,2410
HFC-245ea,CHF2CHFCHF2,3.2,0.16c,2.15e-11,863,2.16e-11,235,2.59e-13,378,2.70e-14,44,1.79e-14,33
HFC-245eb,CH2FCHFCF3,3.1,0.20c,2.66e-11,1070,2.66e-11,290,3.15e-13,460,3.31e-14,54,2.20e-14,40
HFC-245fa,CHF2CH2CF3,7.7,0.24,7.29e-11,2920,7.87e-11,858,1.35e-12,1970,1.51e-13,245,6.62e-14,121
HFC-263fb,CH3CH2CF3,1.2,0.10c,6.93e-12,278,6.93e-12,76,6.31e-14,92,8.02e-15,13,5.70e-15,10
HFC-272ca,CH3CF2CH3,2.6,0.07,1.32e-11,530,1.32e-11,144,1.46e-13,213,1.61e-14,26,1.09e-14,20
HFC-329p,CHF2CF2CF2CF3,28.4,0.31,1.13e-10,4510,2.16e-10,2360,2.94e-12,4290,1.37e-12,2220,3.96e-13,725
HFC-365mfc,CH3CF2CH2CF3,8.7,0.22,6.64e-11,2660,7.38e-11,804,1.30e-12,1890,1.62e-13,262,6.24e-14,114
HFC-43-10mee,CF3CHFCHFCF2CF3,16.1,0.42b,1.08e-10,4310,1.51e-10,1650,2.54e-12,3720,6.62e-13,1070,1.54e-13,281
HFC-1132a,CH2=CF2,4.0 days,0.004d,3.87e-15,<1,3.87e-15,<1,3.08e-17,<1,4.35e-18,<1,3.18e-18,<1
HFC-1141,CH2=CHF,2.1 days,0.002d,1.54e-15,<1,1.54e-15,<1,1.23e-17,<1,1.73e-18,<1,1.27e-18,<1
"(Z)-HFC-1225ye",CF3CF=CHF(Z),8.5 days,0.02,2.14e-14,<1,2.14e-14,<1,1.70e-16,<1,2.40e-17,<1,1.76e-17,<1
"(E)-HFC-1225ye",CF3CF=CHF(E),4.9 days,0.01,7.25e-15,<1,7.25e-15,<1,5.77e-17,<1,8.14e-18,<1,5.95e-18,<1
"(Z)-HFC-1234ze",CF3CH=CHF(Z),10.0 days,0.02,2.61e-14,1,2.61e-14,<1,2.08e-16,<1,2.93e-17,<1,2.14e-17,<1
HFC-1234yf,CF3CF=CH2,10.5 days,0.02,3.22e-14,1,3.22e-14,<1,2.57e-16,<1,3.62e-17,<1,2.65e-17,<1
"(E)-HFC-1234ze",trans-CF3CH=CHF,16.4 days,0.04,8.74e-14,4,8.74e-14,<1,6.98e-16,<1,9.82e-17,<1,7.18e-17,<1
"(Z)-HFC-1336",CF3CH=CHCF3(Z),22.0 days,0.07d,1.54e-13,6,1.54e-13,2,1.23e-15,2,1.73e-16,<1,1.26e-16,<1
"Acronym, Common Name or Chemical Name",Chemical Formula,"Lifetime(Years)","Radia-tiveEffi-ciency(W m–2ppb–1)","AGWP20-year(W m–2yr kg–1)","GWP20-year","AGWP100-year(W m–2yr kg–1)","GWP100-year","AGTP20-year(K kg–1)","GTP20-year","AGTP50-year(K kg–1)","GTP50-year","AGTP100-year(K kg–1)","GTP100-year"
HFC-1243zf,CF3CH=CH2,7.0 days,0.01,1.37e-14,1,1.37e-14,<1,1.09e-16,<1,1.53e-17,<1,1.12e-17,<1
HFC-1345zfc,C2F5CH=CH2,7.6 days,0.01,1.15e-14,<1,1.15e-14,<1,9.19e-17,<1,81.30e-17,<1,9.48e-18,<1
"3,3,4,4,5,5,6,6,6-Nonafluorohex-1-ene",C4F9CH=CH2,7.6 days,0.03,1.25e-14,<1,1.25e-14,<1,9.92e-17,<1,1.40e-17,<1,1.02e-17,<1
"3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluorooct-1-ene",C6F13CH=CH2,7.6 days,0.03,9.89e-15,<1,9.89e-15,<1,7.87e-17,<1,1.11e-17,<1,8.12e-18,<1
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Hep-tadecafluorodec-1-ene",C8F17CH=CH2,7.6 days,0.03,8.52e-15,<1,8.52e-15,<1,6.79e-17,<1,9.57e-18,<1,7.00e-18,<1
Chlorocarbons and Hydrochlorocarbons,,,,,,,,,,,,,
Methyl chloroform,CH3CCl3,5.0,0.07,1.44e-11,578,1.47e-11,160,2.17e-13,317,2.07e-14,34,1.22e-14,22
Carbon tetrachloride,CCl4,26.0,0.17,8.69e-11,3480,1.59e-10,1730,2.24e-12,3280,9.68e-13,1570,2.62e-13,479
Methyl chloride,CH3Cl,1.0,0.01a,1.12e-12,45,1.12e-12,12,9.93e-15,15,1.29e-15,2,9.20e-16,2
Methylene chloride,CH2Cl2,0.4,0.03b,8.18e-13,33,8.18e-13,9,6.78e-15,10,9.26e-16,2,6.72e-16,1
Chloroform,CHCl3,0.4,0.08,1.50e-12,60,1.50e-12,16,1.25e-14,18,1.70e-15,3,1.24e-15,2
"1,2-Dichloroethane",CH2ClCH2Cl,65.0 days,0.01,8.24e-14,3,8.24e-14,<1,6.67e-16,<1,9.29e-17,<1,6.77e-17,<1
"Bromocarbons, Hydrobromocarbons and Halons",,,,,,,,,,,,,
Methyl bromide,CH3Br,0.8,0.004,2.16e-13,9,2.16e-13,2,1.87e-15,3,2.47e-16,<1,1.78e-16,<1
Methylene bromide,CH2Br2,0.3,0.01,9.31e-14,4,9.31e-14,1,7.66e-16,1,1.05e-16,<1,7.65e-17,<1
Halon-1201,CHBrF2,5.2,0.15,3.37e-11,1350,3.45e-11,376,5.17e-13,756,4.96e-14,80,2.87e-14,52
Halon-1202,CBr2F2,2.9,0.27,2.12e-11,848,2.12e-11,231,2.43e-13,356,2.61e-14,42,1.75e-14,32
Halon-1211,CBrClF2,16.0,0.29,1.15e-10,4590,1.60e-10,1750,2.70e-12,3950,6.98e-13,1130,1.62e-13,297
Halon-1301,CBrF3,65.0,0.30,1.95e-10,7800,5.77e-10,6290,5.46e-12,7990,4.16e-12,6750,2.28e-12,4170
Halon-2301,CH2BrCF3,3.4,0.14,1.59e-11,635,1.59e-11,173,1.96e-13,286,2.01e-14,33,1.32e-14,24
Halon-2311 / Halothane,CHBrClCF3,1.0,0.13,3.77e-12,151,3.77e-12,41,3.35e-14,49,4.34e-15,7,3.10e-15,6
Halon-2401,CHFBrCF3,2.9,0.19,1.68e-11,674,1.68e-11,184,1.94e-13,283,2.07e-14,34,1.39e-14,25
Halon-2402,CBrF2CBrF2,20.0,0.31,8.59e-11,3440,1.35e-10,1470,2.12e-12,3100,7.08e-13,1150,1.66e-13,304
Fully Fluorinated Species,,,,,,,,,,,,,
Nitrogen trifluoride,NF3,500.0,0.20,3.19e-10,"12,800",1.47e-09,"16,100",9.39e-12,"13,700",1.02e-11,"16,500",9.91e-12,"18,100"
Sulphur hexafluoride,SF6,"3,200.0",0.57,4.37e-10,"17,500",2.16e-09,"23,500",1.29e-11,"18,900",1.47e-11,"23,800",1.54e-11,"28,200"
"(Trifluoromethyl) sulphur pentafluoride",SF5CF3,800.0,0.59,3.36e-10,"13,500",1.60e-09,"17,400",9.93e-12,"14,500",1.10e-11,"17,800",1.11e-11,"20,200"
Sulphuryl fluoride,SO2F2,36.0,0.20,1.71e-10,6840,3.76e-10,4090,4.58e-12,6690,2.55e-12,4140,9.01e-13,1650
PFC-14,CF4,"50,000.0",0.09,1.22e-10,4880,6.08e-10,6630,3.61e-12,5270,4.12e-12,6690,4.40e-12,8040
PFC-116,C2F6,"10,000.0",0.25,2.05e-10,8210,1.02e-09,"11,100",6.07e-12,8880,6.93e-12,"11,200",7.36e-12,"13,500"
PFC-c216,c-C3F6,"3,000.0",0.23e,1.71e-10,6850,8.44e-10,9200,5.06e-12,7400,5.74e-12,9310,6.03e-12,"11,000"
PFC-218,C3F8,"2,600.0",0.28,1.66e-10,6640,8.16e-10,8900,4.91e-12,7180,5.56e-12,9010,5.83e-12,"10,700"
PFC-318,c-C4F8,"3,200.0",0.32,1.77e-10,7110,8.75e-10,9540,5.25e-12,7680,5.96e-12,9660,6.27e-12,"11,500"
"Acronym, Common Name or Chemical Name",Chemical Formula,"Lifetime(Years)","Radia-tiveEffi-ciency(W m–2ppb–1)","AGWP20-year(W m–2yr kg–1)","GWP20-year","AGWP100-year(W m–2yr kg–1)","GWP100-year","AGTP20-year(K kg–1)","GTP20-year","AGTP50-year(K kg–1)","GTP50-year","AGTP100-year(K kg–1)","GTP100-year"
PFC-31-10,C4F10,"2,600.0",0.36,1.71e-10,6870,8.44e-10,9200,5.08e-12,7420,5.75e-12,9320,6.02e-12,"11,000"
Perfluorocyclopentene,c-C5F8,31.0 days,0.08f,1.71e-13,7,1.71e-13,2,1.37e-15,2,1.92e-16,<1,1.40e-16,<1
PFC-41-12,n-C5F12,"4,100.0",0.41,1.58e-10,6350,7.84e-10,8550,4.69e-12,6860,5.33e-12,8650,5.62e-12,"10,300"
PFC-51-14,n-C6F14,"3,100.0",0.44,1.47e-10,5890,7.26e-10,7910,4.35e-12,6370,4.94e-12,8010,5.19e-12,9490
PFC-61-16,n-C7F16,"3,000.0",0.50,1.45e-10,5830,7.17e-10,7820,4.31e-12,6290,4.88e-12,7920,5.13e-12,9380
PFC-71-18,C8F18,"3,000.0",0.55,1.42e-10,5680,6.99e-10,7620,4.20e-12,6130,4.76e-12,7710,5.00e-12,9140
PFC-91-18,C10F18,"2,000.0",0.55,1.34e-10,5390,6.59e-10,7190,3.98e-12,5820,4.49e-12,7290,4.68e-12,8570
Perfluorodecalin (cis),Z-C10F18,"2,000.0",0.56,1.35e-10,5430,6.64e-10,7240,4.01e-12,5860,4.52e-12,7340,4.72e-12,8630
Perfluorodecalin (trans),E-C10F18,"2,000.0",0.48,1.18e-10,4720,5.77e-10,6290,3.48e-12,5090,3.93e-12,6380,4.10e-12,7500
PFC-1114,CF2=CF2,1.1 days,0.002,2.68e-16,<1,2.68e-16,<1,2.13e-18,<1,3.00e-19,<1,2.20e-19,<1
PFC-1216,CF3CF=CF2,4.9 days,0.01,6.42e-15,<1,6.42e-15,<1,5.11e-17,<1,7.21e-18,<1,5.27e-18,<1
"Perfluorobuta-1,3-diene",CF2=CFCF=CF2,1.1 days,0.003,3.29e-16,<1,3.29e-16,<1,2.61e-18,<1,3.69e-19,<1,2.70e-19,<1
Perfluorobut-1-ene,CF3CF2CF=CF2,6.0 days,0.02,8.38e-15,<1,8.38e-15,<1,6.67e-17,<1,9.41e-18,<1,6.88e-18,<1
Perfluorobut-2-ene,CF3CF=CFCF3,31.0 days,0.07,1.62e-13,6,1.62e-13,2,1.30e-15,2,1.82e-16,<1,1.33e-16,<1
Halogenated Alcohols and Ethers,,,,,,,,,,,,,
HFE-125,CHF2OCF3,119.0,0.41,3.10e-10,"12,400",1.14e-09,"12,400",8.91e-12,"13,000",8.14e-12,"13,200",5.97e-12,"10,900"
HFE-134 (HG-00),CHF2OCHF2,24.4,0.44,2.90e-10,"11,600",5.10e-10,5560,7.42e-12,"10,800",3.02e-12,4900,7.83e-13,1430
HFE-143a,CH3OCF3,4.8,0.18,4.72e-11,1890,4.80e-11,523,6.95e-13,1020,6.66e-14,108,3.99e-14,73
HFE-227ea,CF3CHFOCF3,51.6,0.44,2.22e-10,8900,5.92e-10,6450,6.15e-12,8980,4.22e-12,6850,1.98e-12,3630
HCFE-235ca2 (enflurane),CHF2OCF2CHFCl,4.3,0.41,5.30e-11,2120,5.35e-11,583,7.36e-13,1080,7.14e-14,116,4.44e-14,81
HCFE-235da2 (isoflurane),CHF2OCHClCF3,3.5,0.42,4.49e-11,1800,4.50e-11,491,5.62e-13,822,5.72e-14,93,3.73e-14,68
